No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
16613,30355-73981,JP,CO,35.731057,139.70877,1-17-10 Nishiikebukuro,toshima-ku,13,171-0021,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16614,56812-290791,JP,LS,35.730886,139.710206,1-1-25 Nishiikebukuro,toshima-ku,13,171-0021,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16615,16082-167324,JP,CO,35.729267,139.709519,1-11-1 Nishiikebukuro,toshima-ku,13,171-0021,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16616,17073-172466,JP,CO,35.72899,139.709789,1-1-25 Nishiikebukuro,toshima-ku,13,171-8512,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16617,58402-292582,JP,CO,35.728722999999995,139.709585,1-11-1 Nishiikebukuro,toshima-ku,13,171-0021,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16618,51687-279064,JP,CO,35.730659,139.712897,1-29-1 Minamiikebukuro,toshima-ku,13,171-8532,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16619,30572-97742,JP,CO,35.730143,139.712674,1-29-1 Minamiikebukuro,toshima-ku,13,171-0022,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16620,31989-126367,JP,CO,35.730817,139.715442,1-20-5 Higashiikebukuro,toshima-ku,13,170-0013,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16621,30068-12752,JP,CO,35.727821,139.711782,1-18-17 Minamiikebukuro,toshima-ku,13,171-0022,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16622,30163-29056,JP,CO,35.727066,139.71236000000002,2-16-4 Minamiikebukuro,toshima-ku,13,171-0022,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16623,30314-66741,JP,CO,35.729828999999995,139.718032,3-1-1 Higashiikebukuro,toshima-ku,13,170-6090,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16624,23153-228244,JP,CO,35.365992,139.908226,1-4 Tsukiji,kisarazu,12,292-0835,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16625,57411-290552,JP,CO,35.452546999999996,137.025002,1-6-35 Shinikecho,minokamoshi,21,505-0031,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16626,30229-45339,JP,CO,37.399533,140.38785900000002,2-11-1 Ekimae,koriyama,7,963-8002,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16627,31997-126364,JP,CO,31.527435999999998,130.536122,7 Tokaicho,kagoshima,46,891-0115,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16628,32079-132225,JP,CO,31.543561999999998,130.54371899999998,2-3-5 Usuki,kagoshima,46,890-0073,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16629,65170-299476,JP,CO,31.567059000000004,130.56247,1-8-30 Yojiro,kagoshima,46,890-0062,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16630,30557-227424,JP,CO,31.583778999999996,130.542375,"1-1, Chuocho, Kagoshima",kagoshima,46,890-0053,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16631,59507-293168,JP,CO,31.584228999999997,130.542665,1-1 Chuocho,kagoshima,46,890-0053,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16632,58198-292314,JP,CO,31.591165000000004,130.556983,6-5 Gofukumachi,kagoshima,46,892-0826,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16633,31335-107470,JP,CO,31.592007000000002,130.55471200000002,16-18 Higashisengoku-machi,kagoshima,46,892-0842,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16634,48281-262440,JP,CO,31.616814,130.57531699999998,9688-1 Yoshinocho,kagoshima,46,892-0871,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16635,59350-293568,JP,LS,31.737654,130.754527,8-40 Kokubunoguchihigashi,kirishima,46,899-4341,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16636,32778-139191,JP,CO,36.709377,137.21362299999998,5 Minatoirifunecho,toyama,16,930-0805,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16637,1328-152824,JP,CO,36.66274,137.171272,165-1 Shimokutsuwada Fuchumachi,toyama,16,939-2716,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16638,61448-294829,JP,CO,36.712183,137.101747,713-4 Kurokawa,imizu,16,939-0311,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16639,30396-81179,JP,CO,36.723574,137.01781499999998,383 Shimofusumae,takaoka,16,933-0813,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
